id;so_luong_khach_hang;id_kho;id_bien_ban;tong_loi_ki_thuat;tong_loi_linh_dong;ngay_phan_loai;so_luong;tinh_trang_bao_hanh
1;94906;Isle Plastic;withdrawal Branding cross-media;100;14511;2023-12-15T05:21:10;78495;pixel HDD
2;75659;transmitting;Loan Bedfordshire unleash;83730;61750;2023-12-14T17:45:55;69939;redundant
3;22950;compressing connect global;Colombia;24416;63390;2023-12-15T05:02:28;65424;(Slovak
4;89977;green Surinam base;front-end Lead maroon;27243;190;2023-12-14T14:53:17;92194;interface Customer-focused technologies
5;44426;Integrated Metrics;index;26186;4557;2023-12-15T07:45:40;6065;Representative
6;12235;haptic;matrix yellow e-business;49935;66931;2023-12-14T17:58:36;41211;Director
7;95663;Web;improvement;55001;80780;2023-12-14T16:03:55;85345;Garden Avon
8;47599;withdrawal programming drive;blue auxiliary Fantastic;41683;3130;2023-12-15T03:07:54;16696;payment Facilitator
9;33407;Netherlands Dong Central;Adaptive;34048;90429;2023-12-15T00:05:49;35701;Designer neural Corporate
10;57179;one-to-one Tasty Arkansas;multi-byte Malta;70033;13401;2023-12-15T02:13:16;89587;Customer
