id;ma_chung_loai;ten_chung_loai;ngay_tao;username
1;turquoise support;Dollar withdrawal;2023-12-15T00:22:41;content Cambodia North
2;Data District Tunnel;Incredible;2023-12-14T17:30:36;Frozen bypass Rial
3;CSS transparent application;metrics Buckinghamshire;2023-12-14T15:25:40;systemic payment
4;Intelligent;Wooden Borders;2023-12-15T10:38:21;bus overriding
5;Fresh Architect;context-sensitive Cotton;2023-12-14T13:38:45;Dakota
6;Orchestrator Computer;port Estates;2023-12-14T20:01:54;auxiliary Borders Assistant
7;Buckinghamshire;seamless;2023-12-14T21:06:19;SMTP strategic
8;Peso visionary;grey Movies quantifying;2023-12-14T20:03:50;Consultant Handcrafted
9;Regional disintermediate;Mouse;2023-12-14T11:33:52;Supervisor Salad
10;Minnesota microchip;input;2023-12-15T01:47:13;sexy French
