id;ten_tinh_trang_phan_loai;ngay_tao;ngay_cap_nhat;username;trang_thai
1;Wooden quantifying;2023-12-14T20:18:58;2023-12-14T16:21:02;optical Island;Internal panel
2;transitional;2023-12-14T22:52:22;2023-12-15T06:32:12;Generic;Bacon Berkshire
3;Corporate sexy;2023-12-15T09:04:49;2023-12-15T06:22:24;monetize Port Reactive;Plastic District engineer
4;quantify Grocery;2023-12-14T22:32:05;2023-12-14T12:11:22;copy;Refined Administrator
5;logistical Savings toolset;2023-12-14T10:58:44;2023-12-15T04:55:10;synthesizing;24/365 Digitized
6;connecting;2023-12-15T04:50:52;2023-12-14T21:38:51;calculating Account Soft;Integration
7;Plastic Pants;2023-12-15T02:25:07;2023-12-14T22:19:22;Account invoice Baby;Manager Plain Jersey
8;Virtual;2023-12-15T09:03:32;2023-12-14T17:43:03;cyan utilize Avon;Arkansas
9;Intranet hack;2023-12-14T10:44:48;2023-12-15T00:02:48;silver;aggregate Realigned
10;Mouse;2023-12-14T14:50:03;2023-12-15T06:12:53;Central Group;Shoes backing Principal
