id;ma_nganh;ten_nganh;ngay_tao;username
1;Dakota Branding;customized;2023-12-15T00:47:48;interfaces Cambridgeshire
2;Station;Bedfordshire;2023-12-15T04:32:16;markets
3;Wooden Kroon Macao;Table Product efficient;2023-12-14T21:54:24;invoice Salad
4;Spur;overriding revolutionize;2023-12-15T07:30:10;user-facing transmitting
5;web-readiness Futuna;compress Director;2023-12-14T12:37:05;Investment Checking
6;hierarchy;Integrated Andorra monitor;2023-12-15T03:51:26;SAS
7;Cotton challenge;networks Rubber Factors;2023-12-15T03:46:24;proactive Berkshire
8;redundant deposit;blockchains Phased;2023-12-14T15:13:02;capability
9;Account deliverables Awesome;fault-tolerant;2023-12-15T08:32:15;Chicken
10;Open-architected Afghani Alaska;Automotive Officer;2023-12-15T07:35:38;open-source bandwidth
