id;ten_nhom_khach_hang;ngay_tao;ngay_cap_nhat;username;trang_thai
1;payment Refined;2023-12-14T17:48:18;2023-12-14T10:45:31;Chief systematic Directives;Guinea-Bissau
2;Cotton Soft Unit;2023-12-14T18:37:19;2023-12-15T06:13:30;visualize;Table Focused
3;Practical;2023-12-14T11:35:36;2023-12-15T09:31:29;neural Steel Loan;Chips implement
4;Operations;2023-12-15T05:56:34;2023-12-14T11:54:41;Monitored Optimization actuating;connecting Cambridgeshire
5;calculate;2023-12-14T17:15:01;2023-12-14T21:30:21;client-driven cross-platform e-commerce;Open-source
6;orange facilitate;2023-12-14T13:34:40;2023-12-14T14:28:46;Texas;Applications Buckinghamshire Incredible
7;Account Bedfordshire Manager;2023-12-15T02:21:54;2023-12-14T15:49:31;copying;Buckinghamshire
8;Intranet fuchsia;2023-12-15T10:27:08;2023-12-15T02:37:37;Executive;Tasty best-of-breed Awesome
9;Mayotte;2023-12-14T20:32:58;2023-12-15T06:14:32;quantifying Borders;Steel Arkansas
10;Administrator Libyan optical;2023-12-15T01:35:46;2023-12-14T13:37:31;eyeballs virtual;Soft
