id;ma_nhom_loi;ten_nhom_loi;ngay_tao;ngay_cap_nhat;username;ghi_chu;trang_thai
1;Implementation;Mouse programming;2023-12-15T04:06:40;2023-12-14T11:30:19;Loan;ability;monitor Oval
2;deposit Product modular;Decentralized Guernsey Ball;2023-12-14T12:50:53;2023-12-15T06:27:14;Garden;methodologies;parsing RAM
3;metrics Proactive;magenta Cambridgeshire;2023-12-14T20:52:24;2023-12-14T22:39:47;Synchronised;3rd Synchronised Dynamic;rich card purple
4;withdrawal;Avon Account Gardens;2023-12-14T15:34:36;2023-12-14T20:09:57;methodologies;Saint;utilize Brand hard
5;Engineer Singapore Ergonomic;payment;2023-12-15T00:16:13;2023-12-14T17:03:08;Licensed 24/7 card;Sports implement;invoice
6;Granite;Paradigm;2023-12-15T02:31:34;2023-12-14T11:46:48;Cotton USB;yellow;Designer Handmade seamless
7;Loan;Developer;2023-12-14T21:27:00;2023-12-14T16:06:47;Strategist;Configurable actuating;Cambridgeshire
8;solid intranet;monitor;2023-12-14T22:11:51;2023-12-14T17:06:41;Frozen;Toys;needs-based grow parsing
9;Sleek;CSS Tuna;2023-12-14T23:54:13;2023-12-15T01:38:13;Auto Forward;Alabama;Tools
10;users up;Money bottom-line;2023-12-14T16:03:15;2023-12-15T00:27:50;Object-based;Tasty Myanmar;bypassing Loaf National
