id;so_luong;ngay_phan_tich;username;ghi_chu
1;91055;2023-12-15T09:47:38;Awesome alarm payment;Engineer Product
2;9631;2023-12-14T16:15:55;action-items programming Gloves;Analyst transparent Corporate
3;28447;2023-12-15T00:47:09;Dynamic;morph Computers
4;64784;2023-12-15T10:32:17;convergence Islands;plum Cotton
5;14391;2023-12-14T12:00:46;Borders Tuna Account;Refined transform
6;18835;2023-12-14T22:23:02;Gorgeous Innovative quantifying;Outdoors
7;62960;2023-12-14T19:27:02;Shilling Account Wooden;compressing Account synthesizing
8;4941;2023-12-15T01:56:20;Shilling Bedfordshire;drive Brand
9;36785;2023-12-14T19:02:58;Fresh;Dinar
10;64407;2023-12-15T07:53:49;synthesizing;attitude 1080p
